sample,color
UCM_1195,B
UCM_13094,B
UCM_7879,B
DMNS_16612,B
UCM_7908,B
DMNS_1679,B
DMNS_3129,B
DMNS_3133,B
DMNS_3182,B
DMNS_1704,B
DMNS_3168,B
DMNS_1776,B
DMNS_18808,B
DMNS_1179,B
DMNS_4088,B
DMNS_4087,B
DMNS_4070,B
DMNS_18793,B
DMNS_3122,B
DMNS_4086,B
DMNS_3114,B
DMNS_3128,B
DMNS_3115,B
DMNS_3134,B
UCM_13092,B
DMNS_3112,B
DMNS_1775,B
DMNS_3132,B (I)
UCM_1194,B
DMNS_1705,B
DMNS_5676,B (I)
DMNS_3109,W (I)
DMNS_3135,B
UMNH_23778,W (I)
DMNS_4089,B
DMNS_5680,B (I)
DMNS_5681,B (I)
DMNS_18803,W (I)
DMNS_3138,W (I)
DMNS_18797,W
DMNS_5679,W (I)
DMNS_5682,B (I)
DMNS_5677,B (I)
DMNS_3141,W
UMNH_23790,W (I)
DMNS_18804,W (I)
DMNS_18792,W (I)
DMNS_18807,W (I)
DMNS_4312,W (I)
DMNS_18802,W
DMNS_18790,W (I)
DMNS_18791,W (I)
UMNH_23789,W
UMNH_23779,W
UCM_7894,W
DMNS_18805,W
DMNS_18796,W
DMNS_5678,W (I)
DMNS_18800,W
UMNH_23805,W
DMNS_4319,W
DMNS_18799,W
DMNS_18795,W
UMNH_23784,W
UCM_7888,B
DMNS_2245,W
DMNS_18806,W
DMNS_18798,W
AMNH_123030,W
UMNH_23804,W
UCM_7920,W
DMNS_3163,W
DMNS_18794,W
DMNS_18801,W
DMNS_3146,W
DMNS_4313,W
UMNH_23776,W
UMNH_23777,W
DMNS_3120,W